Index,140kg_ACT(0.0)+KF(1.0),140kg_ACT(0.1)+KF(0.9),140kg_ACT(0.2)+KF(0.8),140kg_ACT(0.3)+KF(0.7),140kg_ACT(0.4)+KF(0.6),140kg_ACT(0.5)+KF(0.5),140kg_ACT(0.6)+KF(0.4),140kg_ACT(0.7)+KF(0.3),140kg_ACT(0.8)+KF(0.2),140kg_ACT(0.9)+KF(0.1),140kg_ACT(1.0)+KF(0.0),REF
1,7.629032922,-1.484327919,1.489259003,0.680782817,0.455949636,2.040077654,7.538667138,4.872124261,4.086325103,2.178487071,7.322059522,3.232555936
2,6.352312685,-1.217570595,1.765422192,1.051617709,1.423442532,2.932923757,8.633677504,4.837169639,4.252309537,3.253736208,8.173242193,4.471623455
3,4.991265451,-0.76601929,1.866897006,1.544194864,2.612573228,4.296632635,8.963516971,4.944945227,4.260340418,4.772093111,8.849544677,5.801448097
4,4.123028759,0.196453321,2.262778414,2.722664133,5.482372632,7.097780778,10.67926377,7.347111307,6.039154975,8.310669972,12.72905569,7.139187355
5,4.775380013,2.362631215,3.814174671,5.774247233,9.377224647,11.22336475,12.04541857,11.22746933,9.606955456,13.16424125,18.6053979,8.575093083
6,6.403481402,4.726693396,5.63431234,9.672484457,12.81438159,14.90354706,16.06264151,14.99513671,13.77654167,17.79036659,23.63543455,10.00970554
7,8.100355568,6.363101413,6.990718176,13.08358978,14.32938335,16.75700425,18.96848913,17.09857964,16.78396927,20.52388768,26.14246278,11.62323225
8,8.813379405,5.958788934,6.978262127,14.84568528,13.60954825,17.32165121,19.94647595,17.0542087,17.59958797,20.88389401,26.60836178,13.01951346
9,7.979782794,3.721987773,5.488326857,14.79550461,11.57515279,17.31145067,19.73345389,15.81633738,16.61715584,20.01140508,26.3145931,14.28335354
10,5.46144568,0.044681005,2.686742306,13.746301,8.827566907,16.84378306,19.1950883,14.11418301,14.73479411,18.72447108,25.4080733,15.57280517
11,1.434229445,-3.144767657,-1.137874731,12.1048787,5.507446547,15.88334755,18.44737323,12.11350791,12.28508944,17.02133153,23.81841475,16.81328931
12,-2.508255334,-4.16820066,-3.371356424,9.93675677,2.038326451,14.43211937,17.40533955,9.921109452,9.294707449,14.85452517,21.61376725,17.87798849
13,-3.258019312,-4.755206279,-4.089163797,7.317588249,-0.822475375,12.55755731,16.04480064,7.745545313,5.756703256,12.37354788,18.93587261,18.67558067
14,-3.301606292,-5.16782675,-4.457679784,4.544288002,-1.773476361,10.47887263,14.42413896,5.829842286,1.941932787,9.820221524,16.00409774,19.30041993
15,-2.937156506,-5.417814679,-4.675761844,1.974129664,-1.561264705,8.412936816,12.64028879,4.349255966,-1.394132817,7.42029295,13.03480294,19.67985863
16,-2.092702627,-5.561306435,-4.819494664,-0.128850564,-0.685469249,6.445679238,10.752808,3.306098635,-2.423658895,5.29714944,10.18735383,19.87801693
17,-0.90415381,-5.635435883,-4.8965801,-1.35532677,0.134973065,4.594061778,8.799959402,2.597169355,-2.280552258,3.485729414,7.529154132,19.88209674
18,0.37754174,-5.647906704,-4.990947812,-1.627069553,0.821474978,2.90170079,6.817148772,2.050693649,-1.741267172,2.005698839,5.052094366,19.68499207
19,1.521034796,-5.566117506,-5.054558317,-1.557436562,1.48633638,1.417545159,4.854683956,1.569611677,-1.116801334,0.815103694,2.776080529,19.20471148
20,2.388636473,-5.324743099,-5.011143703,-1.35037306,2.287201242,0.149377345,2.982030805,1.16671057,-0.454050299,-0.078804988,0.972002026,18.6797279
21,2.948353829,-4.959729468,-4.774832447,-1.086987333,3.196807662,-0.751878897,1.27250526,0.799733758,0.049834627,-0.62379125,-0.176221529,18.04471017
22,3.249119283,-4.563060462,-4.292132563,-0.806778691,4.134033004,-1.124558752,-0.280662202,0.436905454,0.538995983,-0.840415704,-0.792388251,17.24254121
23,3.328039487,-4.284850076,-3.578649062,-0.524994694,4.896170957,-1.223831321,-1.195122508,0.067383185,0.945254583,-0.867332759,-1.046475963,16.44635354
24,3.157999211,-4.266787327,-2.705037622,-0.251273792,5.219516908,-1.240121776,-1.495356578,-0.349358139,1.275967468,-0.776045742,-1.148445387,15.47038781
25,2.671379235,-4.375066957,-1.790491937,-0.014008014,4.923049626,-1.270757105,-1.543377761,-0.797115368,1.509473949,-0.637375675,-1.078067794,14.45662305
26,1.787581536,-4.524885698,-0.990028566,0.129631111,3.964438406,-1.34433067,-1.509398646,-1.236604125,1.602802369,-0.520339709,-0.834781028,13.6584239
27,0.401578167,-4.701363162,-0.429982593,0.122703804,2.382887511,-1.464358808,-1.484677673,-1.640152775,1.52017072,-0.492264911,-0.623106937,12.62292255
28,-1.243298919,-4.891638959,-0.166829406,-0.080744359,0.242797672,-1.622393233,-1.509915875,-1.992511031,1.21384057,-0.598082806,-0.537412964,11.70373538
29,-2.020943056,-5.08373566,-0.208687886,-0.475002909,-1.803744571,-1.798981016,-1.565815361,-2.311642164,0.623564269,-0.826257414,-0.652640089,10.73397887
30,-2.419894755,-5.272199814,-0.508384405,-0.946348955,-2.689815641,-1.965537155,-1.635230253,-2.602456819,-0.297099014,-1.111416798,-0.927547334,9.915861975
31,-2.714414779,-5.450324639,-0.939841283,-1.376775867,-2.838436075,-2.086417873,-1.713649139,-2.844753401,-1.20945273,-1.421912123,-1.30964529,8.94540742
32,-2.945754334,-5.612113229,-1.370833953,-1.720499212,-2.692314444,-2.22750711,-1.803026566,-3.023853582,-1.919825881,-1.778464471,-1.816034706,8.13165404
33,-3.090377064,-5.753709679,-1.743334529,-1.982504789,-2.308830375,-2.393596824,-1.907531943,-3.109984335,-2.420307657,-2.091404662,-2.201784612,7.159526584
34,-3.154798919,-5.873973848,-2.054840446,-2.177516256,-1.776352651,-2.507798444,-2.027029902,-3.140703004,-2.678254621,-2.336503479,-2.488250374,6.354040769
35,-3.173611303,-5.961318158,-2.310582198,-2.301820617,-1.266407537,-2.587817764,-2.157373502,-3.115589564,-2.772117555,-2.518327793,-2.665411903,5.554203175
36,-3.170717599,-6.011158206,-2.541540053,-2.385429354,-0.766674633,-2.646904448,-2.299508381,-2.977006446,-2.767954738,-2.611186326,-2.709427736,4.938781868
37,-3.176518463,-6.043943663,-2.788852802,-2.413916902,-0.304371895,-2.681430513,-2.445620306,-2.769059863,-2.682605763,-2.639477657,-2.608993341,4.299833944
38,-3.200673225,-6.071759532,-3.016308668,-2.432528224,-0.127385845,-2.712865508,-2.59745245,-2.574049934,-2.548712045,-2.62807921,-2.333711326,3.726370895
39,-3.218247236,-6.11726878,-3.22054002,-2.470093019,-0.370616651,-2.75340105,-2.751334579,-2.464697217,-2.331955111,-2.578908145,-1.95435244,3.222363487
40,-3.252552082,-6.195839894,-3.415163228,-2.483289562,-0.915635767,-2.80474196,-2.901896698,-2.481339223,-2.027174461,-2.460334343,-1.579899214,2.826915779
41,-3.309213419,-6.26558707,-3.605067786,-2.523795236,-1.500344856,-2.865819225,-3.043445908,-2.557250356,-1.778119467,-2.315105891,-1.248780295,2.419846691
42,-3.356626073,-6.365441069,-3.791176105,-2.614426565,-2.099888921,-2.9201414,-3.169812457,-2.634991945,-1.657715492,-2.216971506,-1.063583794,2.336478299
43,-3.402159713,-6.487070605,-3.966068615,-2.718741459,-2.71369283,-3.003551812,-3.24190303,-2.634103638,-1.670074779,-2.290597211,-1.073935789,2.143295772
44,-3.458768448,-6.630558592,-4.122388151,-2.868842188,-3.203270124,-3.102776066,-3.322785117,-2.641460562,-1.733893471,-2.455723258,-1.244127357,2.133539475
