Speed,ACT,KF,LT,RT,SL
0.8,2.48105,3.17762,0.587515,0.587798,0.5876565
1,1.29749,2.71307,0.669696,0.675545,0.6726205
1.2,1.24414,2.67676,0.789995,0.79608,0.7930375
1.4,1.35782,2.52001,0.699672,0.696375,0.6980235
1.6,1.68657,2.86355,0.817058,0.79932,0.808189
1.8,2.06882,2.50697,0.787629,0.779835,0.783732
