Speed,ACT,KF,LT,RT,SL
0.8,1.59938,2.9086,0.572201,0.574433,0.573317
1,1.29598,2.57398,0.632651,0.636336,0.6344935
1.2,1.20504,2.62052,0.74018,0.760604,0.750392
1.4,1.38364,2.57128,0.717737,0.712304,0.7150205
1.6,1.40584,2.47034,0.775006,0.768103,0.7715545
1.8,1.9421,2.40708,0.777924,0.771617,0.7747705
