Speed,ACT,KF,LT,RT,SL
0.8,1.00437,3.06685,0.614539,0.621284,0.6179115
1,0.661444,2.80752,0.699246,0.701314,0.70028
1.2,0.529859,2.2462,0.692162,0.695443,0.6938025
1.4,0.466312,2.40557,0.743993,0.75816,0.7510765
1.6,0.748822,2.33779,0.80784,0.804164,0.806002
1.8,1.42347,2.63368,0.811865,0.804383,0.808124
