Speed,ACT,KF,LT,RT,SL
0.8,1.107,3.52372,0.601092,0.603048,0.60207
1,0.470592,3.57766,0.692162,0.695443,0.6938025
1.2,0.349992,2.7104,0.750773,0.750777,0.750775
1.4,0.383519,3.01428,0.884825,0.837766,0.8612955
1.6,0.559357,3.58485,0.879904,0.879543,0.8797235
1.8,0.977233,3.69967,0.852492,0.844338,0.848415
