Speed,ACT,KF,LT,RT,SL
0.8,1.77332,6.90242,0.52988,0.535325,0.5326025
1,1.55456,6.28631,0.680373,0.662867,0.67162
1.2,1.37742,4.47853,0.794491,0.798356,0.7964235
1.4,1.18864,4.58549,0.836697,0.836762,0.8367295
1.6,1.5427,5.43063,0.965639,0.959858,0.9627485
1.8,1.78595,6.22185,0.962784,0.962965,0.9628745
